AMD,QQQ
-1.06223275,0.232559073
-0.469237908,-0.343290514
0.298616357,0.379941637
1.518101181,0.470299977
-0.02446385,0.132961133
0.610515987,0.533621115
-0.800579521,-0.120513918
-0.859464173,0.38694801
-2.489179235,-0.339533674
-1.051319059,-0.148237728
0.811726062,0.7706147
0.149900449,-0.281193525
-1.244733283,0.331157156
-0.075350797,0.620953751
-0.576284158,-0.191677532
-1.272503546,-1.595760939
-0.914566269,-0.193836639
0.120389156,0.377602221
1.920535435,0.351096891
0.585092093,0.58493668
-0.42505389,-0.029511499
0.045121509,-0.581181338
-0.964631851,-0.581483137
-0.589233966,-0.370500052
-0.057565344,-0.085034093
1.673829804,0.704977314
1.424379146,0.496284853
-0.750667824,-0.781961715
-1.914084875,0.007586298
-2.11821702,-0.686417554
0.476433418,-0.139797703
-0.457724311,-0.041253338
1.424164589,0.987828975
-0.553805837,-0.305337548
1.093487807,0.726904779
0.292215327,0.253969251
0.518977755,0.551761352
-0.249888515,0.092233792
-0.070651469,-0.24612008
-2.860420432,-1.283205876
-0.318360239,0.637187944
1.193109288,-0.081640589
0.555263199,0.184721463
-1.076497295,-0.063149571
-0.633852559,-0.348973607
1.94356779,0.529867668
-2.811110805,0.196633305
-0.723286998,0.226099204
-1.03731337,-0.551272392
1.163287202,0.522561418
0.243039337,-0.103516951
0.241686809,0.025491351
0.034972044,0.620314636
0.498195745,0.181958757
0.450762679,0.098344252
0.155532103,0.012076147
-0.197355168,-0.184729206
-1.285548394,-0.910846502
-1.083064976,-0.515703508
-1.699959652,-0.550657085
